brand,name,former_price,current_price,discount
Ray-Ban,RB7047,,$176,
Oakley,Plank 2.0,,$187,
,,,,
Oakley,Socket 5.5,,$227,
Oakley,Holbrook RX,,$187,
Oakley,Wheel House,,$242,
Ray-Ban,RB8908,,$276,
Ray-Ban,RB7229,$222,$155.40,30% Off
Oakley,Pitchman R Carbon - Alternate Fit,,$297,
Ray-Ban,RB6645,,$210,
Ray-Ban,RB7260,,$210,
Ray-Ban,RB5154 Clubmaster,,$222,
Persol,PO3189V,$342,$171,50% Off
Burberry,BE2315,$266,$133,50% Off
Persol,PO3297V,,$342,
Versace,VE1285,$300,$210,30% Off
Gucci,GG1340O,$305,$259.25,15% Off
Gucci,GG1221O,$605,$514.25,15% Off
Kate Spade,Charlee,$245,$171.50,30% Off
Kate Spade,Lucyann,$230,$161,30% Off
Burberry,BE2417,$327,$228.90,30% Off
Dolce & Gabbana,DG3415,$335,$234.50,30% Off
Versace,VE3373U,$316,$221.20,30% Off
RALPH by Ralph Lauren,RA7158U,$141,$98.70,30% Off
Ray-Ban,RB7140,,$237,
